No,;Time;Source;Destination;Protocol;Length;Info;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
221;24,12195;192,168,100,21;162.159.130.234;TCP;66;[TCP Dup ACK 106#7] 61541  >  443 [ACK] Seq=55 Ack=5457 Win=514 Len=0 SLE=5583 SRE=8003;;24,12195;24,12199;3,8E-05;;-0,067364;0,067402;0,134766
222;24,12199;192,168,100,21;162.159.130.234;TCP;66;[TCP Dup ACK 106#8] 61541  >  443 [ACK] Seq=55 Ack=5457 Win=514 Len=0 SLE=5583 SRE=8657;;24,12199;24,18939;0,067402;;0,002704;0,064698;0,061994
228;24,18939;192,168,100,21;74.125.200.119;TCP;117;[TCP Retransmission] 62203  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=4098 Len=63;;24,18939;24,25409;0,064698;;0,064639;5,9E-05;-0,06458
229;24,25409;192,99,44,195;192,168,100,21;TCP;80;[TCP Spurious Retransmission] 443  >  61628 [PSH, ACK] Seq=1 Ack=1 Win=63983 Len=24;;24,25409;24,25414;5,9E-05;;-0,184192;0,184251;0,368443
230;24,25414;192,168,100,21;192,99,44,195;TCP;66;[TCP Dup ACK 199#1] 61628  >  443 [ACK] Seq=29 Ack=25 Win=512 Len=0 SLE=1 SRE=25;;24,25414;24,43840;0,184251;;-0,078758;0,263009;0,341767
236;24,43840;192,168,100,21;192,99,44,195;TCP;82;[TCP Retransmission] 61628  >  443 [PSH, ACK] Seq=1 Ack=25 Win=512 Len=28;;24,43840;24,70140;0,263009;;0,262923;8,6E-05;-0,262837
238;24,70140;162.159.130.234;192,168,100,21;TLSv1,2;246;Application Data;;24,70140;24,70149;8,6E-05;;-0,103005;0,103091;0,206096
240;24,70149;192,168,100,21;162.159.130.234;TCP;66;[TCP Dup ACK 106#9] 61541  >  443 [ACK] Seq=55 Ack=5457 Win=514 Len=0 SLE=5583 SRE=8849;;24,70149;24,80458;0,103091;;0,103086;5E-06;-0,103081
241;24,80458;162.159.130.234;192,168,100,21;TLSv1,2;161;Application Data;;24,80458;24,80459;5E-06;;-6,1E-05;6,6E-05;0,000127
242;24,80459;44.194.132.209;192,168,100,21;TLSv1,2;88;Application Data;;24,80459;24,80465;6,6E-05;;-0,000261;0,000327;0,000588
243;24,80465;192,168,100,21;162.159.130.234;TCP;66;[TCP Dup ACK 106#10] 61541  >  443 [ACK] Seq=55 Ack=5457 Win=514 Len=0 SLE=5583 SRE=8956;;24,80465;24,80498;0,000327;;0,000323;4E-06;-0,000319
244;24,80498;44.194.132.209;192,168,100,21;TLSv1,2;301;Application Data;;24,80498;24,80498;4E-06;;-1E-06;5E-06;6E-06
245;24,80498;44.194.132.209;192,168,100,21;TCP;68;[TCP Dup ACK 242#1] 443  >  62381 [ACK] Seq=281 Ack=264 Win=767 Len=0 SLE=1 SRE=264;;24,80498;24,80499;5E-06;;3E-06;2E-06;-1E-06
248;24,80499;50,116,58,41;192,168,100,21;TCP;56;[TCP Previous segment not captured] 8443  >  51145 [ACK] Seq=49 Ack=57 Win=165 Len=0;;24,80499;24,80499;2E-06;;0;2E-06;2E-06
249;24,80499;20,197,71,89;192,168,100,21;TLSv1,2;229;Application Data;;24,80499;24,80499;2E-06;;-3,55271E-15;2E-06;2E-06
251;24,80499;20,197,71,89;192,168,100,21;TCP;68;[TCP Dup ACK 249#1] 443  >  62308 [ACK] Seq=176 Ack=45 Win=7048 Len=0 SLE=1 SRE=45;;24,80499;24,80499;2E-06;;1E-06;1E-06;0
